word,class_a,class_b
terrifying,0.00009683588737986298,0.00009683588737986298
wouwtd,0.000008069657281655247,0.000008069657281655247
clouded,0.000008069657281655247,0.000008069657281655247
controller,0.000008069657281655247,0.000008069657281655247
optical,0.000008069657281655247,0.000008069657281655247
foqqtjbgfk,0,0
bloomberg,0.000016139314563310495,0.000016139314563310495
account,0.00003227862912662099,0.00003227862912662099
refills,0.000008069657281655247,0.000008069657281655247
southloop,0.000008069657281655247,0.000008069657281655247
commercialization,0.000008069657281655247,0.000008069657281655247
cosmos,0.000008069657281655247,0.000008069657281655247
prices,0.000008069657281655247,0.000008069657281655247
sell,0.00008876623009820772,0.00008876623009820772
plated,0.000008069657281655247,0.000008069657281655247
biggest,0.00006455725825324198,0.00006455725825324198
sons',0,0
venture,0.000008069657281655247,0.000008069657281655247
creeps,0.000008069657281655247,0.000008069657281655247
eo,0.000024208971844965745,0.000024208971844965745
gfwzqj,0.000008069657281655247,0.000008069657281655247
daisy,0.000008069657281655247,0.000008069657281655247
ten,0.00004034828640827624,0.00004034828640827624
defiantly,0.000008069657281655247,0.000008069657281655247
multiply,0,0
nyts,0.000008069657281655247,0.000008069657281655247
sense,0.00015332348835144971,0.00015332348835144971
vypcuiwqnd,0.000008069657281655247,0.000008069657281655247
robust,0.000008069657281655247,0.000008069657281655247
fljn,0.000008069657281655247,0.000008069657281655247
krdonc,0.000008069657281655247,0.000008069657281655247
developing,0.00015332348835144971,0.00015332348835144971
aleg,0.000008069657281655247,0.000008069657281655247
board,0.00006455725825324198,0.00006455725825324198
jaywalking,0.000008069657281655247,0.000008069657281655247
jolie,0.000008069657281655247,0.000008069657281655247
ccubj,0.000008069657281655247,0.000008069657281655247
internetradio,0.000024208971844965745,0.000024208971844965745
carsmake,0.000008069657281655247,0.000008069657281655247
lblffahl,0.000008069657281655247,0.000008069657281655247
webinar,0.000008069657281655247,0.000008069657281655247
toddler,0.000008069657281655247,0.000008069657281655247
abwcvfvkpd,0.000008069657281655247,0.000008069657281655247
obsessed,0.00003227862912662099,0.00003227862912662099
factor,0.00007262691553489724,0.00007262691553489724
made,0.00037120423495614144,0.00037120423495614144
icy,0,0
nypost,0.000008069657281655247,0.000008069657281655247
fadenk,0.000008069657281655247,0.000008069657281655247
technews,0.00004034828640827624,0.00004034828640827624
xtjxql,0.000008069657281655247,0.000008069657281655247
idamaster,0,0
rhe,0.000008069657281655247,0.000008069657281655247
unloads,0.000008069657281655247,0.000008069657281655247
funniest,0.000008069657281655247,0.000008069657281655247
solo,0.000024208971844965745,0.000024208971844965745
mfvpwbfm,0.000008069657281655247,0.000008069657281655247
iheartradio,0.000008069657281655247,0.000008069657281655247
jcrewsglvi,0.000008069657281655247,0.000008069657281655247
virtually,0.000008069657281655247,0.000008069657281655247
csjxjp,0.000008069657281655247,0.000008069657281655247
feel,0.00018560211747807072,0.00018560211747807072
even,0.0004841794368993149,0.0004841794368993149
alcohol,0.000008069657281655247,0.000008069657281655247
nicknamed,0.000008069657281655247,0.000008069657281655247
didnt,0.000016139314563310495,0.000016139314563310495
barchettas,0.000008069657281655247,0.000008069657281655247
yutxf,0.000008069657281655247,0.000008069657281655247
smjsrnyh,0.000008069657281655247,0.000008069657281655247
revoked,0.000008069657281655247,0.000008069657281655247
twesqn,0.000008069657281655247,0.000008069657281655247
ethiopiannewsandopinion,0.000008069657281655247,0.000008069657281655247
checkout,0.000008069657281655247,0.000008069657281655247
doc,0.000016139314563310495,0.000016139314563310495
nljrlel,0.000008069657281655247,0.000008069657281655247
amq,0.000008069657281655247,0.000008069657281655247
bigideas,0.000016139314563310495,0.000016139314563310495
pj,0.00003227862912662099,0.00003227862912662099
raptros,0.000008069657281655247,0.000008069657281655247
etown,0.000008069657281655247,0.000008069657281655247
lights,0.00007262691553489724,0.00007262691553489724
lmtnvstfnz,0.000008069657281655247,0.000008069657281655247
learning,0.00008069657281655248,0.00008069657281655248
lead,0.0001694628029147602,0.0001694628029147602
zif,0.000008069657281655247,0.000008069657281655247
ot,0.000024208971844965745,0.000024208971844965745
